Artist(S) Name,Cover Url,Key,Mode,Released Day,Released Month,Released Year,Released Year (bin),Track Name,Acousticness %,Artist Count,Bpm,Danceability %,Energy %,In Apple Charts,In Apple Playlists,In Deezer Charts,In Deezer Playlists,In Shazam Charts,In Spotify Charts,In Spotify Playlists,Instrumentalness %,Liveness %,Speechiness %,Streams,Valence %
Leah Kate,https://i.scdn.co/image/ab67616d0000b273596a9d381ffda7d97da5d702,G#,Major,23,3,2022,2020,10 Things I Hate About You,1,1,154,54,79,1,23,0,15,0,0,1301,0,17,5,185550869,45
Sam Ryder,https://i.scdn.co/image/ab67616d0000b273b406a48f0b5f4485044dd279,B,Major,22,2,2022,2020,SPACE MAN,18,1,80,47,83,51,42,0,32,0,0,1329,0,10,5,54682594,33
"HA SUNG WOON, Jimin",Not Found,D#,Major,24,4,2022,2020,With you,64,2,150,53,43,35,4,1,11,1,2,343,0,13,3,240580042,14
The Goo Goo Dolls,https://i.scdn.co/image/ab67616d0000b273eda9478c39a21e1cdc6609ca,B,Minor,31,3,1998,1995,Iris,0,1,156,32,72,5,137,0,582,0,9,13101,0,9,4,1284942608,49
Kendrick Lamar,https://i.scdn.co/image/ab67616d0000b27389877ffdd584dc9b7168044b,G#,Minor,8,5,2022,2020,The Heart Part 5,18,1,98,76,81,0,29,0,30,0,0,2939,0,6,34,71423324,79
Kevin Kaarl,https://i.scdn.co/image/ab67616d0000b2733e4b5368bf7ad20f19cc4812,G,Major,7,11,2019,2015,San Lucas,86,1,92,58,36,0,5,0,5,0,1,407,0,9,3,244891912,27
Taylor Swift,Not Found,E,Major,6,5,2022,2020,This Love (TaylorÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½s Ve,32,1,144,47,50,2,26,0,15,2,0,1492,0,7,4,132171975,7
Suki Waterhouse,https://i.scdn.co/image/ab67616d0000b27343bff43a592efe047d2ab9ff,E,Major,20,10,2017,2015,Good Looking,8,1,150,37,56,6,11,0,25,1,0,2264,0,13,3,184706613,27
Lauren Spencer Smith,https://i.scdn.co/image/ab67616d0000b273295d21d0987dcc3d88b4e993,D#,Major,9,8,2021,2020,Flowers,84,1,138,70,44,9,42,1,24,1,0,801,0,9,39,184826429,31
BTS,https://i.scdn.co/image/ab67616d0000b27317db30ce3f081d6818a8ad49,C#,Major,10,6,2022,2020,Yet To Come,4,1,172,56,89,110,32,0,26,0,0,829,0,33,19,302006641,68
BTS,https://i.scdn.co/image/ab67616d0000b27317db30ce3f081d6818a8ad49,G#,Major,10,6,2022,2020,Run BTS,2,1,77,72,82,132,5,0,17,3,0,736,0,4,17,330881149,70
Harry Styles,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,B,Major,20,5,2022,2020,Music For a Sushi Restaurant,26,1,107,72,72,11,80,0,66,1,1,4449,6,11,4,334733572,36
Harry Styles,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,D,Major,20,5,2022,2020,Matilda,90,1,114,51,29,10,29,0,79,0,3,3218,0,10,4,366214458,39
BTS,https://i.scdn.co/image/ab67616d0000b27317db30ce3f081d6818a8ad49,D,Major,10,6,2022,2020,For Youth,43,1,117,63,51,40,5,0,12,0,0,327,0,25,4,114546317,29
Harry Styles,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,,Major,20,5,2022,2020,Daylight,48,1,146,69,45,11,21,0,40,0,0,2775,0,18,4,290833204,63
Doja Cat,https://i.scdn.co/image/ab67616d0000b273cada88daf56a282fb18ecf7f,G#,Minor,6,5,2022,2020,Vegas (From the Original Motion Picture Soundtrack ELVIS),8,1,160,80,60,13,79,0,93,17,0,4576,0,14,26,448500832,74
"Pharrell Williams, Tyler, The Creator, 21 Savage",https://i.scdn.co/image/ab67616d0000b2738f0df54fd6043164d7c07ae3,G,Major,10,6,2022,2020,Cash In Cash Out,1,4,120,88,56,0,34,0,29,0,0,2313,0,8,6,136676504,15
"Calvin Harris, Dua Lipa, Young Thug",https://i.scdn.co/image/ab67616d0000b273210dbb988be90592f4e0a4bd,B,Minor,27,5,2022,2020,Potion (with Dua Lipa & Young Thug),16,3,100,82,70,45,73,0,119,0,0,3983,0,8,5,190625045,76
BTS,https://i.scdn.co/image/ab67616d0000b27317db30ce3f081d6818a8ad49,G#,Minor,10,6,2022,2020,Born Singer,4,1,158,60,84,18,0,0,6,0,0,279,0,24,11,79095270,68
Harry Styles,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,D#,Major,20,5,2022,2020,Little Freak,72,1,142,56,54,3,20,0,39,0,0,2302,0,10,4,273194684,40
"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",Not Found,A,Minor,20,5,2022,2020,La Llevo Al Cielo (Ft. Ã¯Â¿Â½Ã¯Â¿Â½engo F,11,4,170,80,85,1,36,0,31,1,3,3559,0,17,14,333146475,77
"Kanye West, XXXTENTACION",https://i.scdn.co/image/ab67616d0000b273f52f6a4706fea3bde44467c3,F,Minor,27,5,2022,2020,True Love,2,2,84,71,86,1,23,1,44,0,0,2129,0,51,25,194902696,39
Harry Styles,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,,Major,20,5,2022,2020,Satellite,14,1,139,58,46,28,43,0,79,208,5,3291,0,9,3,311482393,30
Musical Youth,https://i.scdn.co/image/ab67616d0000b27392a9d95df51a8d84f90166a6,G,Major,1,1,1982,1980,Pass The Dutchie,20,1,151,73,67,76,54,0,900,0,0,5328,0,32,5,195918494,88
"Bizarrap, Villano Antillano",https://i.scdn.co/image/ab67616d0000b273ab7954fdffcef5bb8e052f28,C#,Minor,8,6,2022,2020,"Villano Antillano: Bzrp Music Sessions, Vol. 51",6,2,128,82,75,16,26,0,17,1,0,1401,0,63,6,248511839,42
Harry Styles,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,G,Major,20,5,2022,2020,Love Of My Life,67,1,118,56,54,2,13,0,31,0,0,1933,0,6,5,233671263,20
Harry Styles,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,F,Major,20,5,2022,2020,Grapejuice,36,1,183,65,72,1,7,0,15,0,0,1986,14,20,3,199587884,88
Halsey,https://i.scdn.co/image/ab67616d0000b27339e6616a499bc092f469cae0,D#,Minor,9,6,2022,2020,So Good,4,1,83,63,62,14,51,0,19,0,0,1057,0,18,4,91781263,29
"BYOR, Imanbek",Not Found,C#,Major,18,2,2022,2020,Belly Dancer,6,2,122,85,80,38,109,1,301,33,13,5115,0,17,14,383835984,42
Harry Styles,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,A,Major,20,5,2022,2020,Keep Driving,32,1,165,72,48,1,8,0,18,0,1,2094,0,18,23,236060709,90
Harry Styles,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,A,Minor,20,5,2022,2020,Cinema,35,1,106,83,64,1,18,0,28,0,0,2171,5,9,4,189236868,90
"Sleepy hallow, 347aidan",https://i.scdn.co/image/ab67616d0000b273e44e304f52a82a3463ce5761,B,Major,25,5,2022,2020,Die Young (feat. 347aidan),83,2,77,81,58,0,19,0,15,0,0,896,0,11,34,160845341,68
Paloma Faith,https://i.scdn.co/image/ab67616d0000b273c4576f635253db511bb43789,G#,Major,1,1,2014,2010,Only Love Can Hurt Like This,10,1,91,57,89,22,90,0,365,114,0,5148,0,33,8,588955257,30
Lady Gaga,https://i.scdn.co/image/ab67616d0000b273b7e7edfee5626b7b1f15192a,G,Major,3,5,2022,2020,Hold My Hand,5,1,148,51,63,8,63,2,270,105,0,2528,0,41,3,238350348,21
Harry Styles,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,E,Minor,20,5,2022,2020,Daydreaming,31,1,114,71,81,1,15,0,23,0,1,1900,2,13,3,187703102,90
"Marshmello, Khalid",https://i.scdn.co/image/ab67616d0000b2732ff34dbc50313f8cea7b5db5,,Minor,10,6,2022,2020,Numb,12,2,120,91,77,76,107,1,86,9,2,3879,1,10,5,295307001,63
"Ozuna, Tiago pzk",Not Found,F#,Major,2,6,2022,2020,Nos Comemos (feat. Ozuna),10,2,92,83,82,0,0,0,2,0,0,896,0,9,5,138334433,56
Childish Gambino,https://i.scdn.co/image/ab67616d0000b2737582716b3666a5235d5af4ea,F,Major,10,11,2016,2015,Me and Your Mama,1,1,118,56,45,60,33,1,107,0,0,8775,3,7,3,445590495,25
"David Guetta, Ella Henderson, Becky Hill",https://i.scdn.co/image/ab67616d0000b273ef4ed3c74eb9eac3754b60d2,E,Minor,18,3,2022,2020,Crazy What Love Can Do,3,3,123,60,71,73,139,0,142,5,0,5290,0,16,4,286739476,46
Joji,https://i.scdn.co/image/ab67616d0000b27360ba1d6104d0475c7555a6b2,D#,Major,12,9,2018,2015,SLOW DANCING IN THE DARK,54,1,89,52,48,79,38,0,65,1,0,10211,1,19,3,1122364376,28
Duki,https://i.scdn.co/image/ab67616d0000b273e63232b00577a053120ca08f,F,Minor,2,6,2022,2020,Antes de Perderte,49,1,110,81,93,1,12,0,8,1,8,584,0,12,11,157136970,61
Harry Styles,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,,Major,20,5,2022,2020,Boyfriends,94,1,118,42,20,2,26,0,30,0,0,1517,0,11,4,137070925,32
Sidhu Moose Wala,https://i.scdn.co/image/ab67616d0000b2731d1cc2e40d533d7bcebf5dae,B,Minor,15,5,2021,2020,295,21,1,90,68,76,106,4,0,0,7,4,246,0,11,20,183273246,54
Keisya Levronka,https://i.scdn.co/image/ab67616d0000b2738fa475b368164ab5eebe1a8d,,Major,13,5,2022,2020,Tak Ingin Usai,82,1,130,49,40,5,16,0,0,6,4,220,0,11,3,184807630,14
Victor Cibrian,https://i.scdn.co/image/ab67616d0000b273665cfd5826ac132eb42262d3,F#,Minor,13,5,2022,2020,En El Radio Un Cochinero,47,1,154,70,62,36,5,0,1,0,0,514,0,10,4,164856284,97
Metallica,https://i.scdn.co/image/ab67616d0000b273cad4832cb7b5844343278daa,E,Minor,3,3,1986,1985,Master of Puppets (Remastered),0,1,105,54,83,198,112,1,406,0,0,6080,44,20,4,704171068,59
BeyoncÃ¯Â¿,Not Found,C#,Minor,21,6,2022,2020,BREAK MY SOUL,4,1,115,70,88,61,222,14,259,2,0,9724,0,26,8,354614964,87
"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",Not Found,C#,Major,16,6,2022,2020,ULTRA SOLO REMIX,8,5,110,91,82,2,37,2,38,0,0,2341,0,6,8,279717388,59
Drake,https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37,E,Minor,17,6,2022,2020,Massive,12,1,125,51,68,89,66,0,61,11,0,5263,2,15,6,195628667,5
Yung Gravy,https://i.scdn.co/image/ab67616d0000b273633674a4e5072dabf5173069,C#,Major,10,6,2022,2020,Betty (Get Money),0,1,102,73,75,2,45,0,26,1,0,2402,0,34,8,221752937,62
Lasso,https://i.scdn.co/image/ab67616d0000b273c6fbbdf9c172f4f68a89198a,G#,Minor,6,2,2022,2020,Ojos Marrones,4,1,120,81,65,18,26,1,15,4,11,795,0,14,4,263280370,72
Nayeon,https://i.scdn.co/image/ab67616d0000b2735fb4a9cfbeb3b7beb337ed02,D,Major,24,6,2022,2020,POP!,4,1,97,80,86,21,19,0,14,2,0,571,0,3,5,213505179,36
"SchÃ¯Â¿Â½Ã¯Â¿Â½rze, DJ R",Not Found,F,Minor,24,3,2022,2020,Layla,0,2,140,44,92,124,18,1,24,0,3,832,0,44,7,130419412,41
j-hope,https://i.scdn.co/image/ab67616d0000b273ce5bba40b16f887e0461c6e2,D,Major,1,7,2022,2020,MORE,1,1,97,78,72,52,6,0,11,0,0,565,0,11,4,155795783,31
Guns N' Roses,https://i.scdn.co/image/ab67616d0000b27321ebf49b3292c3f0f575f0f5,F#,Major,1,1,1987,1985,Sweet Child O' Mine,9,1,125,45,90,151,228,3,6720,99,1,41231,11,10,5,1553497987,67
Burna Boy,https://i.scdn.co/image/ab67616d0000b27312ebde47882280b814275600,D#,Minor,12,5,2022,2020,Last Last,13,1,88,80,56,275,156,3,150,128,12,4526,0,8,9,293466523,55
Rosa Linn,https://i.scdn.co/image/ab67616d0000b2731391b1fdb63da53e5b112224,,Major,19,3,2022,2020,SNAP,11,1,170,56,64,0,3,0,63,353,0,1818,0,45,7,711366595,52
Drake,https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37,A#,Minor,17,6,2022,2020,Sticky,9,1,137,88,49,105,38,0,25,2,0,2814,0,9,14,191448892,8
"Kanye West, Lil Durk, Cardi B",https://i.scdn.co/image/ab67616d0000b273b629e669238964a725937c1b,A,Major,1,7,2022,2020,Hot Shit (feat. Ye & Lil Durk),0,3,157,88,69,0,11,0,2,0,0,1601,0,8,23,85924992,52
"L7nnon, DJ Biel do Furduncinho, Bianca",https://i.scdn.co/image/ab67616d0000b27302c3ff07d407f3e30c395243,F#,Major,3,6,2022,2020,Ai Preto,54,3,130,95,57,0,28,0,54,0,4,894,0,10,25,176103902,83
"Anitta, Tini, Becky G",Not Found,C#,Major,6,7,2022,2020,La Loto,10,3,90,85,83,3,49,0,57,0,0,945,0,8,11,121189256,80
Nessa Barrett,https://i.scdn.co/image/ab67616d0000b273fe6b11174f7eaddd74e870e0,G#,Minor,24,6,2022,2020,die first,7,1,183,44,67,0,25,0,22,0,0,767,0,12,13,131746175,44
LF System,https://i.scdn.co/image/ab67616d0000b273ced808ef1567eaf901041438,C#,Major,2,5,2022,2020,Afraid To Feel,2,1,128,58,91,55,129,0,128,101,5,5898,0,27,11,244790012,68
"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",https://i.scdn.co/image/ab67616d0000b27352cf91ed2a3ed757c6faaa8a,D#,Minor,10,6,2022,2020,Baile no Morro,46,3,130,71,40,0,17,0,24,30,2,685,0,7,45,129314708,78
Rels B,Not Found,C#,Major,4,8,2022,2020,cÃ¯Â¿Â½Ã¯Â¿Â½mo dormi,24,1,126,63,43,15,16,0,20,0,35,1452,0,12,23,331511413,56
"Snoop Dogg, BTS, Benny Blanco",https://i.scdn.co/image/ab67616d0000b2738c47a33a55c6d23cc9d2cf3f,,Major,5,8,2022,2020,Bad Decisions (with BTS & Snoop Dogg),2,3,120,77,87,2,53,0,33,0,0,1456,0,23,12,219196651,94
"Drake, DJ Khaled, Lil Baby",https://i.scdn.co/image/ab67616d0000b273b690b30a50c94c6da49ba948,E,Minor,5,8,2022,2020,STAYING ALIVE (feat. Drake & Lil Baby),7,3,130,72,46,1,51,0,50,0,0,2107,0,28,8,170732845,18
Luar La L,https://i.scdn.co/image/ab67616d0000b27305c2cc3e87e9aa15d9db3dd9,,Major,18,12,2020,2020,Caile,30,1,122,70,76,12,17,0,15,0,2,1494,0,9,45,273914335,46
Feid,https://i.scdn.co/image/ab67616d0000b273b47e7b6440836be413b84c34,G#,Minor,5,8,2022,2020,Si Te La Encuentras Por AhÃ¯Â¿,15,1,172,74,58,10,23,0,18,0,4,1379,0,13,8,179061440,46
Duki,https://i.scdn.co/image/ab67616d0000b273b661d9d73921e40ae97cb5e4,G#,Major,20,7,2022,2020,GIVENCHY,14,1,103,61,62,18,13,0,12,0,4,625,0,23,40,185236961,38
BeyoncÃ¯Â¿,Not Found,A#,Minor,29,7,2022,2020,ALIEN SUPERSTAR,0,1,122,55,64,47,39,0,36,0,0,2688,0,17,10,171788484,46
Ghost,https://i.scdn.co/image/ab67616d0000b273bef9b0a348ea8dd18a581025,B,Major,13,9,2019,2015,Mary On A Cross,0,1,130,47,90,266,38,0,78,141,2,2668,0,10,4,387080183,56
NewJeans,https://i.scdn.co/image/ab67616d0000b2739d28fd01859073a3ae6ea209,A#,Minor,1,8,2022,2020,Attention,24,1,105,81,65,141,14,0,9,1,12,799,0,8,4,264717480,70
Rex Orange County,https://i.scdn.co/image/ab67616d0000b2735b656d32ea6b0b9c54c2d2e0,F,Major,11,3,2022,2020,THE SHADE,39,1,120,90,51,10,17,0,16,4,6,1189,0,9,6,244928911,73
Sofia Carson,https://i.scdn.co/image/ab67616d0000b27326af6664e24916047b68ab81,G,Major,12,7,2022,2020,"Come Back Home - From ""Purple Hearts""",24,1,145,56,53,67,28,0,195,0,0,367,0,12,4,97610446,43
"Grupo Marca Registrada, Junior H",https://i.scdn.co/image/ab67616d0000b2731857fd24035428986c831a7f,G,Minor,22,7,2022,2020,El Rescate,28,2,99,79,59,43,10,1,3,0,4,527,0,11,14,287278853,64
Kanye West,https://i.scdn.co/image/ab67616d0000b273346d77e155d854735410ed18,A#,Minor,1,1,2008,2005,Heartless,5,1,88,79,65,39,63,0,1315,2,34,17504,0,25,14,887906111,66
"Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",https://i.scdn.co/image/ab67616d0000b2739b93a80dbfd3d789065d7b67,A,Major,15,7,2022,2020,"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)",28,4,126,81,73,6,54,1,124,0,0,3113,0,29,4,123473120,90
"Peso Pluma, Luis R Conriquez",https://i.scdn.co/image/ab67616d0000b273093a2563368d844b2a91306f,,Major,15,8,2022,2020,Siempre Pendientes,33,2,136,77,75,79,15,2,4,0,5,685,1,13,4,295152154,71
"Luis R Conriquez, La Adictiva",Not Found,G#,Major,18,2,2022,2020,JGL,55,2,113,70,59,33,15,1,6,0,9,782,0,27,12,323455692,97
"David Guetta, Shakira, Black Eyed Peas",Not Found,B,Major,16,6,2022,2020,Don't You Worry,20,3,132,82,88,4,81,1,248,6,0,2442,0,21,3,240918092,49
"Melody, Ana Castela, Dj Chris No Beat",Not Found,G#,Major,20,5,2022,2020,Pipoco,47,3,135,77,74,2,22,1,65,3,4,1112,0,34,8,191873381,74
"Elton John, Britney Spears",https://i.scdn.co/image/ab67616d0000b2735d872e7b0c1ba964541f07e8,,Major,10,11,2017,2015,Hold Me Closer,11,2,126,67,77,10,165,4,177,73,0,4967,0,19,11,284216603,49
Lewis Capaldi,https://i.scdn.co/image/ab67616d0000b2737cdf9838412bb52df6e9a952,C#,Minor,9,9,2022,2020,Forget Me,30,1,102,67,74,95,93,9,84,202,4,2520,0,36,4,239411309,72
IVE,https://i.scdn.co/image/ab67616d0000b27387f53da5fb4ab1171766b2d5,,Major,22,8,2022,2020,After LIKE,10,1,125,68,92,129,20,0,11,12,12,767,0,9,12,265548837,80
Kanye West,https://i.scdn.co/image/ab67616d0000b2731dacfbc31cc873d132958af9,C#,Major,1,1,2013,2010,Bound 2,14,1,149,37,66,11,33,0,274,0,7,19806,0,9,5,703301727,28
"Interplanetary Criminal, Eliza Rose",Not Found,,Major,15,6,2022,2020,B.O.T.A. (Baddest Of Them All) - Edit,24,2,137,74,89,53,102,12,113,0,6,5153,61,15,5,244585109,71
TWICE,https://i.scdn.co/image/ab67616d0000b273c3040848e6ef0e132c5c8340,D#,Minor,26,8,2022,2020,Talk that Talk,14,1,120,77,91,77,14,1,15,2,0,615,0,33,12,189476119,78
Armani White,https://i.scdn.co/image/ab67616d0000b2734f8799f23432ad98d522f0ec,C#,Major,20,1,2022,2020,BILLIE EILISH.,11,1,100,90,50,1,49,11,67,1,0,2537,0,9,26,277132266,75
Feid,https://i.scdn.co/image/ab67616d0000b273b764865b38a71f70dfd0dbcb,G#,Minor,3,6,2022,2020,Ferxxo 100,25,1,164,70,57,49,20,2,23,2,30,1647,0,15,7,278920007,58
Oxlade,https://i.scdn.co/image/ab67616d0000b273948cc9446ba50ec454e6804f,A#,Minor,10,6,2022,2020,KU LO SA - A COLORS SHOW,31,1,93,65,66,72,117,1,107,7,8,2019,0,22,7,222410722,79
Feid,https://i.scdn.co/image/ab67616d0000b273b764865b38a71f70dfd0dbcb,C#,Minor,13,9,2022,2020,Prohibidox,5,1,180,65,80,36,25,1,25,0,12,1473,0,6,25,185392587,52
Steve Lacy,https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee,C#,Major,15,7,2022,2020,Static,43,1,79,34,31,15,21,0,13,0,0,1613,63,10,7,202452860,22
Coldplay,https://i.scdn.co/image/ab67616d0000b273de09e02aa7febf30b7c02d82,F,Major,5,8,2002,2000,The Scientist,73,1,146,56,44,25,124,1,7827,0,6,30992,0,11,2,1608164312,21
Coldplay,https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0,C#,Major,10,7,2000,2000,Sparks,75,1,103,37,27,0,24,0,805,0,4,10826,5,10,3,624101957,17
YEAT,https://i.scdn.co/image/ab67616d0000b2737aee5b36a3a60ca926bc429b,E,Minor,2,9,2022,2020,Talk,8,1,140,70,76,1,10,0,8,0,0,920,0,54,23,148461629,26
"Yandel, Feid",Not Found,A#,Major,13,9,2022,2020,XQ Te Pones AsÃ¯Â¿,13,2,92,81,70,1,6,0,6,0,0,308,0,15,7,47093942,48
PnB Rock,https://i.scdn.co/image/ab67616d0000b273e9fb616403542596d3ede300,C#,Minor,23,6,2016,2015,Selfish,11,1,102,64,60,0,15,0,0,0,0,2468,0,19,4,380319238,4
"Ovy On The Drums, Quevedo",Not Found,B,Minor,22,7,2022,2020,Sin SeÃ¯Â¿Â½Ã¯,33,2,118,82,85,10,18,1,13,1,2,1097,1,11,4,209106362,75
Feid,https://i.scdn.co/image/ab67616d0000b27373456ed697350847810e52b3,D,Major,13,9,2022,2020,Lady Mi Amor,6,1,93,78,62,0,3,0,2,0,0,330,0,15,6,53987404,75
Lil Yachty,https://i.scdn.co/image/ab67616d0000b273615d6910181bc514d4c4b011,F,Minor,23,6,2022,2020,Poland,14,1,150,70,56,0,38,0,24,0,0,1584,83,11,5,115331792,26
MÃ¯Â¿Â½Ã¯Â¿Â½ne,Not Found,D,Major,7,10,2022,2020,THE LONELIEST,0,1,130,52,60,65,78,1,328,198,5,1585,0,8,3,225093344,24
"Marshmello, Juice WRLD",https://i.scdn.co/image/ab67616d0000b2734204e8bad640cf32eca876a5,D#,Minor,14,10,2022,2020,Bye Bye,6,2,83,65,53,0,16,0,9,0,0,766,0,51,4,84697729,24
"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",Not Found,A,Major,18,8,2022,2020,BABY OTAKU,5,4,102,84,75,1,14,0,13,0,0,836,0,6,8,159240673,43
(G)I-DLE,https://i.scdn.co/image/ab67616d0000b273ac815bdd584468a7aa0216e1,E,Minor,17,10,2022,2020,Nxde,4,1,136,73,91,116,14,0,9,11,6,430,0,48,18,170709584,65
Southstar,https://i.scdn.co/image/ab67616d0000b2731b5f2557a7fe884d0e3d8b2a,A,Major,16,5,1982,1980,Miss You,17,1,145,66,58,10,77,0,119,40,0,2020,0,19,5,154356956,24
girl in red,https://i.scdn.co/image/ab67616d0000b273d6839051c4760457e1a60b2a,G,Major,21,11,2018,2015,we fell in love in october,11,1,130,57,37,21,31,0,15,4,0,6858,18,16,3,723043854,24
Lizzo,https://i.scdn.co/image/ab67616d0000b273caa75a1b27530c05d8b76675,G,Major,14,7,2022,2020,2 Be Loved (Am I Ready),9,1,156,72,77,0,41,2,158,68,6,3682,0,8,11,247689123,92
Ed Sheeran,https://i.scdn.co/image/ab67616d0000b27300bc0dcf5dd155f73eff5267,D,Major,29,9,2022,2020,Celestial,5,1,123,57,85,14,86,0,80,37,0,1639,0,16,4,176474912,50
BLACKPINK,https://i.scdn.co/image/ab67616d0000b2734aeaaeeb0755f1d8a8b51738,G,Major,16,9,2022,2020,Typa Girl,7,1,132,92,62,129,2,0,13,1,10,452,0,63,10,235549288,53
"Rosa Walton, Hallie Coggins",https://i.scdn.co/image/ab67616d0000b273a91a5b301baac1f46e6f30eb,D#,Minor,18,12,2020,2020,I Really Want to Stay at Your House,0,2,125,49,74,0,0,0,31,,1,668,0,9,4,140430339,13
Lil Baby,https://i.scdn.co/image/ab67616d0000b27366b04b41fa6f8908dce86695,F,Minor,14,10,2022,2020,California Breeze,0,1,162,74,67,38,36,0,13,3,0,991,0,11,46,85559365,22
"Luciano, Aitch, BÃ¯Â¿Â½",https://i.scdn.co/image/ab67616d0000b27348064ef6df8fad8a52219c32,A#,Major,22,9,2022,2020,Bamba (feat. Aitch & BIA),14,3,138,80,81,12,14,2,12,28,7,869,0,13,36,146223492,82
"MC Ryan SP, Love Funk, Mc Paiva ZS",Not Found,A#,Minor,1,7,2022,2020,Casei Com a Putaria,12,3,161,59,60,0,0,0,30,0,4,648,0,5,44,187701588,62
"Drake, 21 Savage",https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,G#,Minor,4,11,2022,2020,Major Distribution,1,2,131,91,55,7,22,0,15,0,0,1545,0,7,32,154863153,23
"Drake, Travis Scott, 21 Savage",https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,E,Minor,4,11,2022,2020,Pussy & Millions (feat. Travis Scott),6,3,122,75,63,8,24,0,17,1,0,1930,0,35,12,191333656,45
Taylor Swift,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,E,Minor,21,10,2022,2020,Vigilante Shit,17,1,80,80,28,9,12,0,16,0,0,1948,0,12,39,253650850,16
Taylor Swift,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,G,Major,21,10,2022,2020,Question...?,20,1,109,75,50,3,10,0,12,0,0,1608,0,30,17,223064273,11
"Drake, 21 Savage",https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,A,Major,4,11,2022,2020,On BS,2,2,158,84,36,20,9,0,7,0,0,1338,0,39,59,170413877,33
Taylor Swift,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,E,Major,21,10,2022,2020,Mastermind,55,1,126,66,35,5,7,0,13,0,0,1936,0,9,14,218320587,12
"Drake, 21 Savage",https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,C#,Major,4,11,2022,2020,Circo Loco,1,2,104,73,61,9,26,0,17,3,0,1794,0,32,7,141720999,25
Taylor Swift,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,,Major,21,10,2022,2020,Labyrinth,80,1,110,48,31,3,6,0,15,0,0,1597,22,12,4,187339835,15
"Drake, 21 Savage",https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,G,Major,4,11,2022,2020,Spin Bout U,1,2,130,77,70,52,26,0,10,95,2,1652,0,16,5,198365537,20
Taylor Swift,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,,Major,21,10,2022,2020,Sweet Nothing,97,1,177,34,16,6,9,0,13,2,0,1747,0,12,5,186104310,39
Taylor Swift,https://i.scdn.co/image/ab67616d0000b2737dca066ca62e4ebb583b8058,G,Major,21,10,2022,2020,"Would've, Could've, Should've",43,1,158,48,84,5,4,0,8,0,0,1715,0,15,12,177503916,55
"Ludwig Goransson, Foudeqush",Not Found,D,Minor,4,11,2022,2020,Con La Brisa,51,2,114,62,44,1,8,0,7,0,0,486,33,14,3,71095708,25
"Drake, 21 Savage",https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,F,Major,4,11,2022,2020,Privileged Rappers,0,2,144,93,61,5,6,0,3,0,0,1007,0,12,20,112436403,62
Jin,https://i.scdn.co/image/ab67616d0000b27343aaff780ea621da5ce4eb0a,F,Major,28,10,2022,2020,The Astronaut,0,1,125,54,76,100,10,1,15,27,9,481,0,14,3,203436468,22
Drake,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,F,Minor,4,11,2022,2020,BackOutsideBoyz,4,1,142,85,43,5,8,0,2,0,0,1045,0,39,32,93367537,40
