Artist(S) Name,Cover Url,Key,Mode,Released Day,Released Month,Released Year,Released Year (bin),Track Name,Acousticness %,Artist Count,Bpm,Danceability %,Energy %,In Apple Charts,In Apple Playlists,In Deezer Charts,In Deezer Playlists,In Shazam Charts,In Spotify Charts,In Spotify Playlists,Instrumentalness %,Liveness %,Speechiness %,Streams,Valence %
"AnnenMayKantereit, Giant Rooks",https://i.scdn.co/image/ab67616d0000b2732186eb1b0b5436f858c0508c,F#,Minor,28,6,2019,2015,Tom's Diner,38,2,98,68,43,48,15,0,50,3,0,2605,0,36,14,236872197,33
Jack Harlow,https://i.scdn.co/image/ab67616d0000b2738e55edb69ca44a25b52b17bb,G#,Major,8,4,2022,2020,First Class,3,1,107,91,56,32,163,15,137,12,0,8737,0,11,10,694525298,32
Paulo Londra,https://i.scdn.co/image/ab67616d0000b273ccccd9b321e9b4446ae22cc5,,Major,23,3,2022,2020,Plan A,5,1,174,58,83,0,32,0,19,0,0,1105,0,7,4,240661097,56
Danny Ocean,https://i.scdn.co/image/ab67616d0000b273be462dd5903fb27996331b48,G#,Major,17,2,2022,2020,Fuera del mercado,32,1,92,45,67,24,68,1,43,0,21,2499,0,13,14,421365166,27
"Daddy Yankee, Bad Bunny",Not Found,G,Major,25,3,2022,2020,X Ã¯Â¿Â½Ã¯Â¿Â½LTIMA,9,2,90,81,83,3,55,0,32,0,1,2697,0,11,5,349746291,59
Shawn Mendes,https://i.scdn.co/image/ab67616d0000b273dad0775943c1a826bfed3117,F,Major,31,3,2022,2020,When You're Gone,2,1,147,60,69,11,75,0,44,14,0,2092,0,58,4,255120451,58
Lil Tjay,https://i.scdn.co/image/ab67616d0000b2731e6a9d4ce04b67a455ed6b8c,C#,Major,1,4,2022,2020,In My Head,16,1,143,68,55,0,21,0,31,0,0,1185,0,10,12,190981339,41
Willow,https://i.scdn.co/image/ab67616d0000b2736ee651e65c3766d80e7fcab7,D#,Minor,11,1,2015,2015,Wait a Minute!,3,1,101,76,71,80,79,3,250,10,0,11985,0,10,3,924193303,63
IVE,https://i.scdn.co/image/ab67616d0000b2739016f58cc49e6473e1207093,C#,Minor,5,4,2022,2020,LOVE DIVE,0,1,118,70,71,124,28,0,13,1,8,753,0,33,4,305771063,54
"Feid, Alejo, Robi",Not Found,G,Minor,18,3,2022,2020,Pantysito,14,3,98,83,74,17,49,0,30,0,0,2995,0,16,6,273005485,63
Paulo Londra,https://i.scdn.co/image/ab67616d0000b273cb74f60124f5268784563f0b,C#,Minor,6,4,2022,2020,Chance,24,1,138,72,46,0,11,0,7,0,0,225,0,9,6,89566512,22
Demi Lovato,https://i.scdn.co/image/ab67616d0000b273ed164cf1c10f028e8f528784,F,Minor,1,1,2015,2015,Cool for the Summer,1,1,114,59,62,5,155,0,577,6,0,9243,0,8,4,677389855,30
"Camila Cabello, Willow",https://i.scdn.co/image/ab67616d0000b27317f56db9be0ac58807c82899,G,Minor,7,4,2022,2020,psychofreak (feat. WILLOW),34,2,180,63,64,0,24,0,52,0,0,918,0,9,8,75476209,45
Troye Sivan,https://i.scdn.co/image/ab67616d0000b2735cf05521594fbf41d2a48893,B,Major,9,9,2021,2020,Angel Baby,1,1,145,56,57,25,52,0,32,10,9,1959,0,13,3,408843328,41
"MatuÃ¯Â¿Â½Ã¯Â¿Â½, Wiu,",Not Found,G#,Minor,30,1,2022,2020,Vampiro,1,3,115,78,64,3,26,0,39,0,4,540,0,7,4,187772591,63
"De La Ghetto, Duki, Quevedo",Not Found,A#,Major,31,3,2022,2020,Si Quieren Frontear,13,3,82,79,84,0,14,0,11,0,0,859,0,21,23,178512385,48
Lil Baby,https://i.scdn.co/image/ab67616d0000b2736c6827c3fb94b95e5ff4a4aa,D,Major,8,4,2022,2020,Right On,2,1,166,70,61,9,31,0,15,1,0,1116,0,10,34,101780047,22
"Ak4:20, Cris Mj, Pailita",https://i.scdn.co/image/ab67616d0000b273b0a3a7b69e470141becfdf8d,,Major,30,3,2022,2020,Me ArrepentÃ¯Â¿,29,3,92,86,79,2,12,0,4,0,2,273,0,60,16,118381354,91
Charlie Puth,https://i.scdn.co/image/ab67616d0000b273a3b39c1651a617bb09800fd8,F#,Major,8,4,2022,2020,That's Hilarious,74,1,108,71,44,6,11,0,12,15,2,686,0,11,6,146363130,55
Yahritza Y Su Esencia,https://i.scdn.co/image/ab67616d0000b273ab621620bbfb20009cdc855e,E,Minor,25,3,2022,2020,Soy El Unico,45,1,84,71,45,0,5,0,4,1,0,226,0,11,3,126443991,63
Daddy Yankee,Not Found,D#,Minor,25,3,2022,2020,RUMBATÃ¯Â¿Â½,6,1,95,69,91,4,20,0,52,1,0,1264,0,35,4,157990698,90
"LuÃ¯Â¿Â½Ã¯Â¿Â½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",Not Found,D#,Minor,17,3,2022,2020,sentaDONA (Remix) s2,25,4,135,93,45,0,32,0,49,0,0,870,0,13,27,176290831,77
Harry Styles,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,E,Major,13,12,2019,2015,Falling,84,1,110,57,27,24,124,0,254,8,0,7556,0,9,3,1023187129,6
"Ed Sheeran, J Balvin",Not Found,G,Major,24,11,1996,1995,Sigue,5,2,88,89,64,8,46,0,60,0,0,1370,0,19,7,106933107,59
teto,https://i.scdn.co/image/ab67616d0000b273acb087ed5213035b71ef7a80,C#,Minor,30,3,2022,2020,Fim de Semana no Rio,12,1,119,87,50,2,27,0,31,0,2,315,0,10,10,139193812,28
Stray Kids,https://i.scdn.co/image/ab67616d0000b2733613e1e0d35867a0814005a9,C#,Major,18,3,2022,2020,MANIAC,15,1,120,58,80,188,6,0,20,0,0,651,0,7,41,212234990,71
Shawn Mendes,https://i.scdn.co/image/ab67616d0000b273ea3ef7697cfd5705b8f47521,D,Major,23,9,2016,2015,There's Nothing Holdin' Me Back,36,1,122,86,80,57,229,2,1370,71,0,12382,0,9,6,1714490998,97
"Blackbear, BoyWithUke",Not Found,F,Major,18,3,2022,2020,IDGAF (with blackbear),41,2,98,78,75,2,10,0,13,1,0,625,0,27,8,197643795,83
Harry Styles,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,E,Minor,13,12,2019,2015,Golden,21,1,140,45,84,24,85,0,200,2,1,8429,0,13,6,807015863,25
"Pharrell Williams, Nile Rodgers, Daft Punk",Not Found,F#,Minor,1,1,2013,2010,Get Lucky - Radio Edit,4,3,116,79,81,1,203,0,8215,0,0,52898,0,10,4,933815613,87
Doja Cat,Not Found,D#,Major,25,6,2021,2020,Ain't Shit,51,1,124,86,49,6,32,0,46,1,0,3436,0,35,21,499710590,62
"Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and PixarÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½s Turning Red), Topher Ngo, Grayson Vill",Not Found,A,Minor,25,2,2022,2020,"Nobody Like U - From ""Turning Red""",13,6,105,91,72,39,34,0,30,0,0,918,0,9,15,120847157,73
BIGBANG,https://i.scdn.co/image/ab67616d0000b273eb136d1be54b1ef8273c0699,G#,Major,5,4,2022,2020,Still Life,44,1,118,68,58,14,16,0,7,0,0,181,0,6,3,53909146,24
